time	timepoint	rep	read	fastq
es	t0	1	R1	HG7FNBGX9_n01_ATAC01_11-14-18.fastq.gz
es	t0	1	R2	HG7FNBGX9_n02_ATAC01_11-14-18.fastq.gz
es	t0	2	R1	HG7FNBGX9_n01_ATAC02_11-14-18.fastq.gz
es	t0	2	R2	HG7FNBGX9_n02_ATAC02_11-14-18.fastq.gz
h1	t1	1	R1	HG7FNBGX9_n01_ATAC03_11-14-18.fastq.gz
h1	t1	1	R2	HG7FNBGX9_n02_ATAC03_11-14-18.fastq.gz
h1	t1	2	R1	HG7FNBGX9_n01_ATAC04_11-14-18.fastq.gz
h1	t1	2	R2	HG7FNBGX9_n02_ATAC04_11-14-18.fastq.gz
h4	t2	1	R1	HG7FNBGX9_n01_ATAC05_11-14-18.fastq.gz
h4	t2	1	R2	HG7FNBGX9_n02_ATAC05_11-14-18.fastq.gz
h4	t2	2	R1	HG7FNBGX9_n01_ATAC06_11-14-18.fastq.gz
h4	t2	2	R2	HG7FNBGX9_n02_ATAC06_11-14-18.fastq.gz
h16	t3	1	R1	HG7FNBGX9_n01_ATAC07_11-14-18.fastq.gz
h16	t3	1	R2	HG7FNBGX9_n02_ATAC07_11-14-18.fastq.gz
h16	t3	2	R1	HG7FNBGX9_n01_ATAC08_11-14-18.fastq.gz
h16	t3	2	R2	HG7FNBGX9_n02_ATAC08_11-14-18.fastq.gz
d1	t4	1	R1	HG7FNBGX9_n01_ATAC09_11-14-18.fastq.gz
d1	t4	1	R2	HG7FNBGX9_n02_ATAC09_11-14-18.fastq.gz
d1	t4	2	R1	HG7FNBGX9_n01_ATAC10_11-14-18.fastq.gz
d1	t4	2	R2	HG7FNBGX9_n02_ATAC10_11-14-18.fastq.gz
d5	t5	1	R1	HG7FNBGX9_n01_ATAC11_11-14-18.fastq.gz
d5	t5	1	R2	HG7FNBGX9_n02_ATAC11_11-14-18.fastq.gz
d5	t5	2	R1	HG7FNBGX9_n01_ATAC12_11-14-18.fastq.gz
d5	t5	2	R2	HG7FNBGX9_n02_ATAC12_11-14-18.fastq.gz
